Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Cumaru do Norte (PA),72.71,19.4,25.2,13.32,13.39,13.45,13.89,46.51,21.9,28.99,25.32,18.07,4.65,2.21,3.62,4.43,3.61,36.37
Cumaru (PE),68.18,32.8,32.07,4.87,5.23,5.3,5.35,19.14,15.23,5.43,0,13.07,0.96,1.02,1.09,,,40.11
Cumbe (SE),69.9,27.9,26.52,6.94,7.09,6.91,6.35,0,0,0,0,0,3.57,,5.26,,1.75,36.82
Cunha Porã (SC),73.24,16.2,4.88,42.79,34.5,31.16,30.92,14.49,6.94,7.25,7.63,22.9,,,,1.53,,1.34
Cunha (SP),74.54,15.4,10.45,6.32,6.41,6.45,6.44,0,13.22,4.52,8.81,4.15,0.43,0.44,0.45,0.44,0.83,17.12
Cunhataí (SC),78.17,9.5,3.95,14.97,14.55,14.46,13.89,0,47.62,41.67,55.56,0,,,,,,1.96
Cuparaque (MG),72.85,18.8,21.52,6.21,6.63,6.71,5.82,42.86,12.5,0,0,16.67,1.43,,,1.69,,20.18
Cupira (PE),70.8,24.6,30.69,6.7,7.08,6.66,6.31,5.81,12.66,17.81,11.3,23.5,1.45,0.76,1.02,0.28,1.04,29.9
Curaçá (BA),71.68,22.5,24.72,5.44,6.08,5.29,5.06,23.97,24.81,16.16,16.77,10.58,1.09,0.95,1.21,2.31,1.23,43.82
Curimatá (PI),69.47,29.5,18.46,5.32,5.38,5.16,5.02,0,0,5.21,28.85,16.13,2.41,1.2,2.08,3.37,5.38,40.77
Curionópolis (PA),73.53,17.4,17.98,9.67,9.1,14.04,22.39,12.05,12.53,12.5,18.29,17.24,2.17,1,2,1.52,2.41,34.88
Curitibanos (SC),75.78,12.5,7.95,20.12,21.42,19.91,20.61,22.44,13.64,9.49,12.14,11.33,1.92,1.52,0.47,1.06,1.62,10.47
Curitiba (PR),76.3,11.91,2.13,36.11,34.28,32.21,29.37,8.82,7.74,8.98,8.66,8.31,0.42,0.39,0.38,0.31,0.27,1.73
Curiúva (PR),72.7,16,13.6,9.22,9.4,9.54,10.11,17.34,7.14,10.36,5.38,10.58,2.31,1.43,,1.08,,12.05
Currais Novos (RN),72.62,21.69,17.87,11.02,10.05,10.02,9.36,14.68,13.06,13.44,13.16,7.91,0.37,0.93,0.77,1.1,0.59,22.64
Currais (PI),69.55,29.2,32.73,10.59,19.87,18.66,8.13,0,12.99,0,50,14.29,,,,2.5,2.86,54.66
Curral de Cima (PB),67.89,34.3,40.5,5.9,5.72,5.11,5.16,0,0,0,28.17,14.08,,2,1.47,2.82,,50.03
Curral de Dentro (MG),70.51,23.2,24.36,5.91,5.85,5.54,5.33,0,17.24,18.02,18.52,24.39,0.91,,0.9,,1.22,39.98
Curralinho (PA),71.15,23.5,21.6,4.25,4.14,10.7,13.29,14.49,18.6,19.09,18.62,15.01,1.61,1.4,2.5,2.87,1.64,60.34
Curralinhos (PI),70.7,25.7,31.07,3.17,3.98,3.7,3.67,0,33.9,13.33,19.61,29.41,1.59,,,1.96,,54.34
Curral Novo do Piauí (PI),66.1,41.5,35.45,3.74,3.78,4.26,4.25,12.82,0,0,14.08,27.4,,1.43,1.45,1.41,,58.42
Curral Velho (PB),69.36,29.4,34.92,5.55,5.97,5.9,5.67,0,0,0,0,33.33,3.13,,,,,37.35
Curuá (PA),71.8,21.7,14.43,5.05,5.16,5.2,5.23,13.64,8.1,14.42,14.42,15.63,0.91,1.62,1.92,1.92,1.56,61.12
Curuçá (PA),70.48,25.4,10.83,5.05,4.66,4.62,4.6,8.47,18.87,11.41,11.39,14.26,1.48,2.64,1.33,1.9,0.61,50.49
Cururupu (MA),71.06,26.1,17.41,4.22,4.56,4.29,4.35,30.12,17.61,14.71,16.67,19.57,1,2.15,1.26,2.62,2.39,44.54
Curvelândia (MT),73.63,17.6,15.12,11.32,12.17,16.08,14.64,0,16.39,0,15.87,0,1.59,1.64,2.94,1.59,,14.43
Curvelo (MG),76.05,13.8,7.83,13.12,12.41,12.53,11.33,10.19,8.75,16.75,11.09,14.71,1.02,0.88,0.89,1,0.21,12.1
Custódia (PE),67.33,35.7,27.21,6.68,7.17,6.77,6.63,21.1,13.13,17.39,19.23,9.67,1.14,1.13,1.39,1.28,0.97,30.61
Cutias (AP),70.58,23,11.19,9.41,8.86,8.57,8.38,0,24.69,0,11.24,37.74,2.41,3.7,2.35,,2.83,47.76
Damianópolis (GO),73.91,14.7,19.52,6.33,6.54,5.96,6.01,0,0,0,0,0,,,,,,32.41
Damião (PB),68.2,33.2,39.66,4.93,4.91,4.88,4.89,0,0,13.7,0,0,3.03,,1.37,,4.17,55.88
Damolândia (GO),74.14,14.4,12.95,9.89,9.78,8.99,8.35,34.48,0,47.62,28.57,32.26,,8,4.76,,,8.51
Darcinópolis (TO),70.83,24.2,20.67,9.79,9.62,9.12,13.74,20.62,9.43,9.17,0,0,2.06,2.83,1.83,1.28,,30.07
Dário Meira (BA),71.27,23.7,34.07,3.53,3.72,5.7,5.15,0,30.77,27.78,29.41,5.92,2.82,2.31,2.08,1.76,1.78,53.41
Datas (MG),70.36,23.5,10.63,7,6.81,6.3,6.19,40,12.99,12.66,0,10.99,2.67,,,,2.2,24.02
David Canabarro (RS),77.2,10,7.36,18.56,19.38,17.38,17.15,0,0,0,0,54.05,,,,,,2.6
Davinópolis (GO),76.72,11,14.79,84.37,58.32,74.35,98.47,0,90.91,0,0,0,,,,,,5.74
Davinópolis (MA),69.84,29.9,25.01,4.28,7.49,23.86,37.61,12.45,23.04,24.65,16.81,8.51,2.49,1.84,1.76,0.84,2.55,34.77
Delfim Moreira (MG),75.2,15,9.19,6.72,7.8,7.41,7.15,0,11.63,13.33,27.03,0,,,,1.35,,16.69
Delfinópolis (MG),77.31,12,10.3,14.46,14.79,13.36,15.59,14.49,0,0,16.67,0,,1.28,1.47,,1.47,3.6
Delmiro Gouveia (AL),71.42,25.1,23.35,7.85,7.35,6.75,5.8,19.47,15.05,16.03,23.93,14.6,0.92,1.85,1.6,2.02,1.34,33.1
Delta (MG),73.46,17.8,13.12,26.4,22.09,23.19,22.05,0,0,19.11,26.55,7.94,,3.05,,1.77,0.79,5.63
Demerval Lobão (PI),71.88,22.4,25.45,5.23,7.34,6.95,6.8,5.35,9.76,14.35,18.02,15.15,1.07,1.46,0.96,1.35,0.38,30.16
Denise (MT),73.09,18.5,14.21,37.36,28.25,31.08,30.97,0,10.42,0,0,10,1.18,1.04,0.94,3.92,,7.34
Deodápolis (MS),73.6,20.3,13.11,12.61,13.51,12.91,12.83,21.98,20.2,15,13.7,10.53,,1.01,0.5,0.68,0.53,7.79
Deputado Irapuan Pinheiro (CE),69.52,27.9,32.28,4.24,4.8,4.59,4.59,11.76,0,11.24,12.05,0,,,4.49,1.2,,45.38
Derrubadas (RS),75.74,11.8,9.78,18.87,17.63,16.24,16.47,34.48,0,0,0,0,3.45,,,,,24.87
Descalvado (SP),76.92,11,5.5,26.74,27.34,26.53,27.73,7.41,8.15,15.75,6.01,8.36,0.49,0.54,1.05,,0.56,5.24
Descanso (SC),76.22,11.9,5.41,17.65,18.66,17.62,17.34,0,10.64,10.64,0,39.6,,1.06,,,,5.4
Descoberto (MG),72.85,18.9,8.44,8.72,8.1,7.54,7.85,24.39,18.52,0,0,0,2.44,,,,3.92,13.08
Desterro de Entre Rios (MG),73.14,18.4,14.29,6.17,6.27,6.42,9.07,14.08,15.38,0,0,32.26,,,1.49,,,22.07
Desterro do Melo (MG),73.53,17.7,17.64,8,8.14,8.01,7.67,38.46,0,64.52,35.71,0,,,,,,24.83
Desterro (PB),68.43,32.4,25.49,4.56,5.02,4.72,4.82,17.39,0,15.87,15.38,18.18,1.74,,,1.54,,45.85
Dezesseis de Novembro (RS),73.55,14.8,12.29,8.67,8.96,8.86,9.31,41.67,0,50,0,37.04,,,,,,27.9
Diadema (SP),75.65,13.94,4.36,27.25,27,23.95,21.16,15.82,11.42,14.14,12.58,12.41,0.63,0.59,0.56,0.48,0.27,5.51
Diamante D'Oeste (PR),71.57,19,16.77,13.62,13.71,13.29,12.9,0,13.16,0,0,0,2.56,5.26,2.82,3.13,1.32,20.44
Diamante do Norte (PR),74.46,13.4,11.15,36.88,29.28,33.3,38.53,15.15,20,0,16.95,0,4.55,,1.54,,,5.62
Diamante do Sul (PR),71.62,17.7,19.12,9.31,9.33,9.09,9.7,0,0,0,0,18.87,5.26,4.08,2.33,2.13,,27.14
Diamante (PB),69.89,27.7,30.3,5.18,5.35,5.13,4.99,0,11.63,21.05,13.51,0,,1.16,2.11,,,44.37
Diamantina (MG),75.33,14.8,9.22,9.89,9.93,10.04,9.83,20.74,11.49,14.27,15.94,8.37,0.74,0.72,0.86,0.29,0.56,16.65
Diamantino (MT),74.87,15.6,6.98,56.67,64.91,54.46,69.11,18.93,9.23,11.66,19.66,4.9,0.95,1.23,,0.84,1.23,9.18
Dianópolis (TO),74.34,15.4,12.37,12.73,13.86,8.5,8.83,17.54,15.63,9.06,13.99,16.03,2.05,1.25,0.91,1.4,0.64,22.52
Dias D'Ávila (BA),73.66,17.5,8.21,30.73,32.14,30.81,27.98,27.08,15.95,11.86,18.47,14.42,1.56,1.13,1.37,0.92,1.27,20.72
Dilermando de Aguiar (RS),76.85,10.4,13.65,23.95,23.02,24.2,26.12,41.67,0,0,0,0,,,,,,22.19
Diogo de Vasconcelos (MG),73.63,17.5,17.31,5.35,5.08,5.48,5.74,0,26.32,0,0,22.73,2.5,,,,,33.72
Dionísio Cerqueira (SC),74.17,14.8,10.18,18.59,18.78,18.19,17.27,16.6,11.58,19.92,0,9.48,0.41,0.77,0.4,0.42,0.47,15.17
Dionísio (MG),74.24,16.5,11.64,5.45,5.65,5.64,5.47,36.36,16.39,0,38.46,33.33,,,3.33,,,13.98
Diorama (GO),75.48,12.5,12.83,12.43,13.36,12.26,13.07,0,0,0,0,47.62,,,,,,9.99
Dirce Reis (SP),75.54,13.9,13.9,20.42,19.82,18.69,19.66,27.78,0,0,111.11,0,2.78,,,,,3.74
Dirceu Arcoverde (PI),68.06,34.2,28.81,3.57,3.69,3.7,3.56,20.83,11.9,9.9,10.2,10.42,,1.19,0.99,5.1,2.08,40.47
Divina Pastora (SE),70.17,27,23.15,48,44.88,25.47,11.45,13.89,37.04,27.4,16.13,13.89,4.17,3.7,,,,28.74
Divinésia (MG),72.11,20.2,9.21,9.01,8.67,7.42,8.02,0,0,0,0,0,,,,,3.03,11.13
Divino das Laranjeiras (MG),73.64,17.5,18.38,6.28,5.87,6,6.27,52.63,55.56,19.23,48.39,19.23,,1.85,,,,19.09
Divino de São Lourenço (ES),74.16,15.2,15.09,8.52,8.31,8.38,9.5,18.18,34.48,20,0,16.39,,,2,,,29.79
Divinolândia de Minas (MG),73.72,17.4,13.89,5.49,4.96,4.98,4.67,30.93,28.04,11.24,53.76,0,1.03,,,,,23.81
Divinolândia (SP),75.97,13.3,6.32,14.71,17.21,16.21,15.64,0,0,0,23.62,8.62,,,,1.57,,5.51
Divino (MG),74.36,16.3,14.02,7.23,7.72,8.19,7.85,7.33,14.93,14.71,15.15,10.75,1.47,1.49,1.1,,0.72,23.79
Divinópolis de Goiás (GO),73.75,14.9,21.14,8.37,8.56,8.32,7.8,15.63,22.73,11.49,0,0,,2.27,3.45,2.44,,30.81
Divinópolis do Tocantins (TO),73.97,16.2,16.43,9.18,9.43,10.36,11.26,0,10.2,10.31,18.18,9.17,1.01,2.04,1.03,0.91,2.75,26.67
Divinópolis (MG),75.63,14.59,3.78,18.33,18.25,17.15,16.06,7.88,8.03,9.39,10.34,6.28,0.11,0.33,0.34,0.31,0.48,2.67
Divisa Alegre (MG),68.39,27.8,22.22,8.57,8.91,7.65,9.1,12.05,11.49,18.18,31.58,0,2.41,1.15,,1.05,1.1,30.54
Divisa Nova (MG),73.03,18.5,13.91,8.53,8.55,8.87,9.75,0,0,25,0,0,2.63,1.35,1.25,,1.27,9.21
Divisópolis (MG),73.1,18.4,25.61,4.52,4.69,4.09,4.18,12.82,13.7,0,24.39,27.78,3.85,,1.16,4.88,,32.95
Dobrada (SP),74.1,16.2,15.11,8.2,7.2,7.42,7.53,0,0,8.26,20.62,16.67,,,,,,4.6
Dois Córregos (SP),76.17,13,8.26,16.87,17.25,16.85,16.99,8.72,5.43,20,11.3,11.98,1.74,0.82,1.14,0.28,0.3,5.37
Dois Irmãos das Missões (RS),72.81,15.9,12.29,34.3,30.25,31.11,34.05,0,74.07,0,35.71,0,,3.7,,,,26.64
Dois Irmãos do Buriti (MS),71.4,24.7,12.42,13.11,12.41,20.62,11.63,15.75,15.15,6.41,13.25,6.1,0.79,2.27,0.64,0.66,1.83,29.35
Dois Irmãos do Tocantins (TO),73.78,16.6,17.5,7.93,7.59,7.89,8.34,18.18,0,55.56,13.89,0,5.45,,,,3.39,43.13
Dois Irmãos (RS),75.87,12.4,2.04,37.52,39.43,36.84,35.63,0,5.51,12.41,9.88,17.68,,,0.25,,,0.52
Dois Lajeados (RS),75.19,13.3,5.11,17.8,18.09,17.93,17.38,0,76.92,80,0,0,,,,,,0.31
Dois Riachos (AL),70.74,27.2,39.13,4.15,4.06,4.3,4.17,7.09,7.14,23.62,17.54,7.35,2.13,3.57,1.57,3.51,0.74,57.39
Dois Vizinhos (PR),76,11.4,6.59,23.32,24,24.19,24.86,21.16,10.12,4.98,9.51,6.41,0.71,0.84,0.17,0.48,0.48,4.62
Dolcinópolis (SP),74.5,15.5,12.23,12.4,11.64,11.37,13.45,,,,,,,,,6.25,,2.37
Dom Aquino (MT),73.33,18.1,14.01,30.94,25.89,25.52,28.13,11.9,12.2,0,12.2,0,1.19,1.22,2.33,1.22,,13.08
Dom Basílio (BA),71.97,21.7,23.72,6.31,6.75,6.52,6.53,8.62,32,8.33,7.52,18.07,,,0.83,,,40.89
Dom Bosco (MG),73.88,17.1,15.68,8.46,8.58,8.6,8.8,22.22,0,0,0,0,2.22,,2.63,,,18.86
Dom Cavati (MG),72.03,20.3,12.49,5.75,6.94,6.59,6.63,15.63,0,0,19.23,15.87,,,1.64,1.92,,13.21
Dom Eliseu (PA),70.8,24.5,17.67,6.46,6.75,7.27,7.61,10.32,12.77,15.75,24.57,13.01,0.88,1.99,2.23,2.02,0.58,28.87
Dom Expedito Lopes (PI),70.69,25.8,26.7,5.24,5.81,6.53,6.74,22.47,48.19,13.33,10.87,0,1.12,,1.33,2.17,,34.92
Dom Feliciano (RS),74.1,14,12.21,10.22,10.4,10.69,9.83,6.21,6.13,11.63,0,13.33,0.62,0.61,1.16,1.45,1.33,22.12
Domingos Martins (ES),74.98,14.1,10.98,14.76,14.27,12.99,13.22,10.22,12.68,4.23,19.82,10.68,0.41,0.21,0.63,0.66,,12.83
Domingos Mourão (PI),70.28,27,31.05,3.95,4.57,4.51,4.71,62.5,36.36,0,0,16.95,,,,,1.69,49.67
Dom Inocêncio (PI),70.33,26.8,25.05,3.31,3.84,3.82,3.75,11.49,21.28,21.74,38.96,13.33,1.15,1.06,1.09,3.9,1.33,54.71
Dom Joaquim (MG),74.12,16.7,16.65,7.27,7.4,6.36,6.23,0,27.4,0,0,0,,,,,,28.58
Dom Macedo Costa (BA),72.69,19.9,20.79,5.09,5.08,5.11,4.99,0,0,0,17.24,0,,,,3.45,1.72,36.54
Dom Pedrito (RS),75.88,11.6,5.88,20.6,20.41,21.37,19.52,23.09,10.73,11.47,4.51,4.82,0.92,0.86,0.92,1.58,0.72,11.38
Dom Pedro de Alcântara (RS),74.21,13.8,5.65,14.7,14.11,12.9,12.53,0,0,0,0,47.62,,,,,,7.75
Dom Pedro (MA),70.52,27.7,24.23,5.87,6.31,6.51,6.29,15,13.92,7.98,5.49,14.45,1.75,1.39,0.8,1.1,1.45,33.56
Dom Silvério (MG),75.8,14.1,9.94,9.81,10.26,9.85,9.86,0,0,0,0,0,,,,,,8.82
Dom Viçoso (MG),74.12,16.7,10.15,6.32,6.39,6.18,6.46,0,0,0,0,0,,,,,,19.91
Dona Emma (SC),76.71,11.3,4.17,15.08,16.62,14.79,14.48,47.62,51.28,0,0,72.73,,,3.45,,,4.19
Dona Eusébia (MG),75.45,14.6,8.59,6.89,6.76,7.55,7.53,23.81,0,30.3,0,0,2.38,,1.52,2.86,3.8,5.57
Dona Francisca (RS),74.84,13,7.19,14.89,15.31,14.17,13.18,0,30.3,31.25,0,0,,3.03,,,,8.83
Dona Inês (PB),66.41,39.7,39.32,4.71,5,4.83,4.94,7.52,42.94,13.33,13.61,6.85,1.5,1.23,1.33,2.72,0.68,54.57
Dores de Campos (MG),74.4,16.3,7.09,14.88,15.36,15.66,14.79,36.14,0,9.71,19.8,20.62,1.2,3.53,,,1.03,6.64
Dores de Guanhães (MG),74.26,16.5,19.24,10.36,9.96,13.19,13.46,15.38,46.15,17.24,23.81,0,,,,,,27.63
Dores do Indaiá (MG),75.4,14.7,11.04,10.12,10.33,9.87,10.1,18.52,7.63,17.39,35.21,16.81,1.85,1.53,3.48,,,6.62
Dores do Rio Preto (ES),73.78,15.8,17.59,11.61,10.83,12.26,12.17,,,,,,,,,,1.37,21.22
Dores do Turvo (MG),74.75,15.7,15.07,7.19,7.56,6.25,6.36,0,0,23.81,0,0,,,,,2.13,28.52
Doresópolis (MG),77.11,12.3,6.65,14.77,21.79,24.96,23.71,0,71.43,0,0,0,,,,,,11.8
Dormentes (PE),69.46,28.6,26.22,6.97,7.15,6.33,7.08,31.58,12.35,12,13.45,28.34,1.05,0.82,1.6,,0.4,37.74
Douradina (MS),73.52,20.5,10.46,12.46,11.03,13.09,13.21,12.05,26.32,0,26.32,0,,2.63,3.8,,1.75,19.72
Douradina (PR),74.07,14,9.54,42.34,41.87,38.8,39.11,0,0,7.14,16.39,7.87,0.7,0.87,0.71,0.82,0.79,3.5
Douradoquara (MG),75.84,14.1,7.31,18,18.42,18.52,17.09,0,0,0,66.67,111.11,,,,,11.11,4.33
Dourados (MS),75.59,17,5.56,22.68,26.05,24.74,24.11,18.41,15.86,13.15,14.39,9.81,1.14,1.37,0.99,1.31,0.91,5.96
Dourado (SP),73.66,16.9,7.76,27.42,54.39,52.11,52.19,0,26.67,10,19.61,31.25,1.22,,,0.98,,1.93
Doutor Camargo (PR),75.34,12.3,8.78,16,16,16.12,16.62,0,16.67,16.13,15.38,0,,3.33,,,,5.92
Doutor Maurício Cardoso (RS),75.41,12.2,6.29,23.08,27.53,23.24,23.98,0,23.81,47.62,51.28,0,,,,,,10.68
Doutor Pedrinho (SC),75.55,12.8,3.88,12.54,14.7,14.72,16.43,27.78,0,0,31.25,0,,2.38,,,,2.83
Doutor Ricardo (RS),76.3,11.1,7.19,18.69,19.99,19.68,18.86,90.91,0,0,0,0,,,,,5,3.37
Doutor Severiano (RN),69.79,27.3,24.76,4.96,5.04,4.84,4.66,19.61,26.55,20.83,0,0,0.98,1.77,,,,37.37
Doutor Ulysses (PR),72.45,16.4,17.34,7.73,8.4,7.83,7.65,0,15.38,0,15.15,14.29,1.59,,,1.52,1.43,38.11
Doverlândia (GO),75.4,12.6,15.02,16.87,18.16,17.57,17.79,32.79,10.2,10.87,10.31,15.15,3.28,,2.17,2.06,,8.41
Dracena (SP),75.51,12.9,5.88,18.9,17.68,16.89,16.15,8.62,18.33,2.07,13.54,10.18,0.22,0.81,0.21,0.39,0.41,2.4
Duartina (SP),75.24,14.4,6.86,12.23,12.43,11.33,11.38,14.08,28.99,7.25,24.59,6.8,0.7,1.45,0.72,,0.68,4.24
Duas Barras (RJ),72.39,17.9,11.73,13.98,14.01,13.15,13.93,6.8,22.06,0,14.39,0,1.36,2.21,,,0.78,7.93
Duas Estradas (PB),72.72,19.8,30.58,6.92,7.01,7.24,6.69,38.46,0,17.54,0,21.28,,1.33,3.51,3.92,,41.23
Dueré (TO),75.77,12.4,12.52,13.87,15.44,17.79,17.65,0,0,0,0,17.24,3.45,1.67,1.54,3.92,1.72,22.25
Dumont (SP),75.91,13.4,7.21,14.93,14.86,14.49,16.74,0,10,25.21,9.71,0,,2,1.68,,,0.85
Duque Bacelar (MA),66.56,41.5,31.97,3.35,4.21,3.65,3.84,10.1,9.9,15.96,5.41,5.46,0.51,1.49,2.66,1.62,0.55,63.58
Duque de Caxias (RJ),75,14.07,4.99,23.8,25.86,28.87,29.84,13.88,14.05,12.9,15.75,14.35,1.03,1.13,1,0.96,0.73,9.88
Durandé (MG),75.54,14.5,17.85,7.08,7.79,7.71,8.47,0,8.26,10.2,45.87,0,0.99,1.65,2.04,,1.92,18.62
Echaporã (SP),75.01,14.7,9.8,14.83,13.24,12.99,13.62,16.95,14.93,12.2,11.36,24.69,,2.99,,2.27,,6.25
Ecoporanga (ES),74.13,15.3,20.41,11.58,11.62,9.67,9.42,14.98,21.6,2.92,7.14,25.18,0.37,0.62,0.29,0.71,1.08,20.65
Edealina (GO),73.45,15.4,12.32,29.45,44.32,36.2,41.9,21.28,51.28,0,102.04,0,,,3.64,,,6.81
Edéia (GO),74.55,13.8,12.46,28.59,32.01,31.43,39.05,27.03,0,29.85,15.27,13.42,1.35,0.81,1.49,,0.67,2.8
Eirunepé (AM),70.37,24.4,32.99,8.6,8.97,8.56,7.54,30.52,27,30.3,43.2,36.3,3.05,2.47,3.03,3.18,1.99,55.41
Eldorado dos Carajás (PA),70.42,25.6,21.29,6.44,6.6,6.36,6.54,17.79,10.97,5.95,14.67,12.11,2.17,3.47,2.58,1.22,1.69,44.12
Eldorado do Sul (RS),75.66,11.9,4.17,21.79,25.22,24.42,24.03,17.48,13.49,19.71,3.46,7.01,1.05,0.17,0.18,0.69,0.53,6.99
Eldorado (MS),74.45,18.8,14.21,18.39,16.97,17.12,17.7,13.27,9.9,22.47,10.05,23.95,2.65,0.5,1.12,1.51,1.2,12.39
Eldorado (SP),75.82,13.5,11.23,9.53,10.02,8.79,9.67,21.83,18.96,4.31,0,14.56,,1.9,0.43,0.94,,23.26
Elesbão Veloso (PI),70.5,26.3,35.87,4.76,5.35,5.4,5.39,19.35,30.3,6.06,19.87,19.35,1.29,,1.21,,1.29,33.64
Elias Fausto (SP),74.32,15.8,7.41,23.71,24.56,23.31,22.89,5.56,9.62,8.7,20,14.42,1.67,0.96,1.3,1,0.48,4.87
Eliseu Martins (PI),69.51,29.4,21.43,5.07,5.98,5.53,5.62,0,0,20,0,0,2,5.88,,2,2.17,38.25
Elisiário (SP),74.51,15.5,9.82,13.76,11.5,11.72,11.9,0,22.73,0,26.32,0,,,,,,1.4
Elísio Medrado (BA),71.6,22.8,25.43,4.38,4.72,4.68,4.63,19.61,0,34.48,0,12.66,0.98,,1.15,,,35.13
Elói Mendes (MG),75.26,14.9,11.35,10.45,13.63,12.1,13.38,3.14,3.53,8.85,10.03,23.46,1.89,1.41,0.59,1,0.29,10.46
Emas (PB),71.38,23.4,30.43,5.88,5.85,5.54,5.52,0,0,0,0,28.57,2.78,2.33,,,,40.16
Embaúba (SP),75.42,14.1,8.15,14.16,14.84,12.95,12.82,43.48,0,55.56,43.48,55.56,,,,,,1.96
Embu-Guaçu (SP),75.01,14.7,6.07,11.02,11.16,11,10.42,11.28,14.02,5.97,14.4,5.95,0.62,0.32,0.7,0.72,0.1,8.98
Embu (SP),75.33,13.09,4.96,23.35,26.46,26,25.12,11.14,13.11,11.64,13.21,11.41,0.76,0.55,0.53,0.5,0.37,7.05
Emilianópolis (SP),73.28,17.5,11.55,11.33,11.72,11.33,12.44,0,0,25,0,0,,,,,,4.81
Encantado (RS),76.5,11.6,3.25,23.67,24.57,24.33,23.19,7.94,7.3,18.73,3.79,6.85,,,,0.76,,2.21
Encanto (RN),72.21,20.5,24.28,4.76,4.87,4.75,4.77,13.33,21.51,37.04,12.35,0,,1.08,,2.47,,31.52
Encruzilhada (BA),70.23,26.7,32.75,6.1,6.58,6.95,6.08,19.93,20.92,51.02,10.91,19.84,4.32,1.26,3.06,1.45,2.38,45.03
Encruzilhada do Sul (RS),77.5,9.6,10.8,10.76,12.17,12.59,14.53,18.25,0,11.07,20.27,14.18,1.82,1.87,0.74,2.36,1.06,16.24
Enéas Marques (PR),75.09,12.6,8.77,20.54,20.23,21.02,23.49,0,26.67,0,0,0,1.67,,,,1.54,10.06
Engenheiro Beltrão (PR),74.21,13.8,9.72,19.81,18.42,19.59,18.43,0,15.71,50.56,17.54,0,,0.52,1.12,1.17,2.42,8.41
Engenheiro Caldas (MG),73.91,17.1,18.19,6.99,7.47,7.07,6.53,14.81,6.71,7.3,7.63,33.33,,0.67,0.73,1.53,,21.72
Engenheiro Coelho (SP),73.87,16.5,8.78,16.56,16.43,14.49,15.32,7.91,8.03,10.49,11.81,7.35,,1.61,0.7,1.57,0.74,5.92
Engenheiro Navarro (MG),72.44,19.6,17.48,6.64,6.47,6.42,6.5,12.82,0,15.15,11.9,12.5,2.56,2.53,3.03,,,22.65
Engenheiro Paulo de Frontin (RJ),73.32,16.5,5.78,11.17,12.89,13.14,12.75,7.87,15.27,13.99,24.79,8.26,0.79,1.53,0.7,0.83,,11.7
Engenho Velho (RS),74.23,13.8,10.6,23.26,22.97,25.82,25.83,27.03,0,0,0,0,2.7,,5.88,4,4.55,21.37
Entre Folhas (MG),72.5,19.5,14.28,5.86,6.31,6.01,6.15,32.26,14.08,23.81,0,13.16,,,,,,23.07
Entre-Ijuís (RS),74.74,13.1,6.09,24.17,22.72,22.49,25.25,20.62,30,0,10,20.62,2.06,,,,,13.51
Entre Rios (BA),72.12,21.4,18.07,13.14,10.45,8.74,7.18,18.09,20.79,26.07,7.17,14.55,1.81,1.32,1.49,1.43,1.09,39.75
Entre Rios de Minas (MG),73.14,18.4,8.06,7.47,8.14,7.76,8.06,34.25,18.52,6.1,6.33,23.53,0.68,0.62,,0.63,0.59,15.36
Entre Rios do Oeste (PR),74.55,13.3,3.19,28.14,34.29,33.24,33.74,0,0,0,0,36.36,,1.96,1.67,,1.82,3.07
Entre Rios do Sul (RS),76.4,11,9.13,69.48,28.18,36.2,42.36,0,0,28.57,33.33,0,,2.5,2.86,,,10.32
Entre Rios (SC),73.46,15.8,14.93,23.85,11.79,11.27,10.76,19.61,0,0,0,16.39,3.92,7.94,1.82,,4.92,17.87
Envira (AM),68.63,29.6,32.75,5.42,5.34,4.96,4.95,21.86,25.91,24.27,35.23,18.87,2.19,3.89,4.37,2.98,1.42,57.67
Epitaciolândia (AC),71.27,24.1,16.31,13.94,12.35,11.93,10.88,10.91,7.63,7.17,22.22,10.31,1.45,1.15,1.43,2.59,1.03,29.44
Equador (RN),70.87,24.1,22.82,6.37,5.93,7.44,6.99,0,31.25,0,16.39,0,2.5,,2.99,,1.96,34.24
Erebango (RS),75.24,12.4,6.86,20.7,20.54,20.34,21.02,0,0,0,48.78,21.74,,,,4.88,,10.02
Erechim (RS),74.95,12.8,3.27,33.66,31.69,30.07,28.58,10.53,12.56,12.4,7.57,7.46,1.35,0.37,0.9,0.68,0.15,3.29
Ererê (CE),70.23,25.8,30.73,4.25,4.77,4.68,4.78,0,0,33.33,0,86.96,,,,,,39.25
